Linux 2.6.32-431.el6.i686 (bogon) 	06/11/2019 	_i686_	(24 CPU)

12:00:01 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
06:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
06:00:01 AM  Auto_em1      0.09      0.04      0.02      0.00      0.00      0.00      0.05
06:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
06:10:01 AM  Auto_em1      0.06      0.02      0.01      0.00      0.00      0.00      0.05
06:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
06:20:01 AM  Auto_em1      0.09      0.01      0.02      0.00      0.00      0.00      0.05
06:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
06:30:01 AM  Auto_em1      0.16      0.04      0.04      0.00      0.00      0.00      0.05
06:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
06:40:01 AM  Auto_em1      0.14      0.02      0.04      0.00      0.00      0.00      0.05
06:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
06:50:01 AM  Auto_em1      0.13      0.01      0.04      0.00      0.00      0.00      0.05
06:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
07:00:01 AM  Auto_em1      0.16      0.04      0.04      0.00      0.00      0.00      0.05
07:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
07:10:01 AM  Auto_em1      0.16      0.05      0.04      0.00      0.00      0.00      0.05
07:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
07:20:01 AM  Auto_em1      0.26      0.01      0.05      0.00      0.00      0.00      0.16
07:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
07:30:01 AM  Auto_em1      0.20      0.06      0.05      0.01      0.00      0.00      0.07
07:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
07:40:01 AM  Auto_em1      0.16      0.03      0.04      0.00      0.00      0.00      0.06
07:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:50:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
07:50:01 AM  Auto_em1      0.14      0.01      0.04      0.00      0.00      0.00      0.06
07:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:00:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
08:00:01 AM  Auto_em1      0.16      0.04      0.04      0.00      0.00      0.00      0.05
08:00:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
08:10:01 AM  Auto_em1      0.13      0.02      0.04      0.00      0.00      0.00      0.05
08:10:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
08:20:01 AM  Auto_em1      0.18      0.02      0.04      0.00      0.00      0.00      0.05
08:20:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:30:01 AM        lo      0.32      0.32      0.02      0.02      0.00      0.00      0.00
08:30:01 AM  Auto_em1      0.30      0.03      0.05      0.00      0.00      0.00      0.05
08:30:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:40:01 AM        lo      0.10      0.10      0.01      0.01      0.00      0.00      0.00
08:40:01 AM  Auto_em1      0.32      0.03      0.05      0.00      0.00      0.00      0.05
08:40:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:50:01 AM        lo      0.11      0.11      0.01      0.01      0.00      0.00      0.00
08:50:01 AM  Auto_em1      0.34      0.03      0.06      0.01      0.00      0.00      0.05
08:50:01 AM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
